rfqNumber,nsn,buyer,supplierId,dueDate,status,source,item,quantity,unitPrice,currency,priority,createdAt,updatedAt
RFQ-001,3110-00-123-4567,Lockheed Martin,SUP-4312,2025-11-10,OPEN,ERP,F-35 Bearing,200,145.75,USD,High,2025-10-25T14:12:03Z,2025-10-26T08:22:40Z
RFQ-002,1615-00-678-9123,Boeing,SUP-1987,2025-11-15,OPEN,GOV,Blackhawk Rotor Hub,100,290.00,USD,Medium,2025-10-26T10:45:12Z,2025-10-27T07:58:44Z
RFQ-003,1270-01-567-2341,Raytheon,SUP-3259,2025-11-12,OPEN,GOV,Sensor Assembly,50,410.25,USD,High,2025-10-26T13:22:11Z,2025-10-27T09:19:00Z
RFQ-004,2840-00-123-9876,Northrop Grumman,SUP-5431,2025-11-18,OPEN,ERP,Jet Nozzle Housing,120,370.10,USD,Medium,2025-10-27T08:51:02Z,2025-10-28T10:05:20Z
RFQ-005,1560-00-222-7645,General Dynamics,SUP-4120,2025-11-22,OPEN,GOV,Missile Guidance Chip,75,520.50,USD,High,2025-10-27T15:40:17Z,2025-10-28T11:00:12Z
RFQ-006,4810-00-333-5641,Honeywell,SUP-6549,2025-11-25,OPEN,ERP,Hydraulic Valve,250,80.00,USD,Low,2025-10-28T09:44:05Z,2025-10-29T06:33:50Z
RFQ-007,1620-00-888-3219,Sikorsky,SUP-2988,2025-11-27,OPEN,GOV,Landing Gear Shaft,150,260.00,USD,Medium,2025-10-28T11:24:44Z,2025-10-29T09:00:10Z
RFQ-008,1280-00-666-4321,BAE Systems,SUP-8799,2025-11-30,OPEN,ERP,Targeting Display,60,890.00,USD,High,2025-10-29T08:17:33Z,2025-10-30T07:14:55Z
RFQ-009,1430-00-777-6542,Textron Aviation,SUP-9322,2025-12-02,OPEN,GOV,Avionics Control Board,40,650.00,USD,Medium,2025-10-29T10:32:10Z,2025-10-30T09:21:01Z
RFQ-010,1660-00-999-4444,Collins Aerospace,SUP-6751,2025-12-05,OPEN,ERP,Cabin Pressure Sensor,300,110.00,USD,Low,2025-10-30T07:11:44Z,2025-10-30T11:43:27Z

